path,label,split
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV022310.jpg,smoke,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV006405.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV028143.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV014713.jpg,both,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV013273.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV008094.jpg,smoke,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV013887.jpg,smoke,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV022047.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV005181.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV020612.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV012214.jpg,smoke,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV012078.jpg,smoke,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\fire_CV000231.jpg,fire,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV014922.jpg,smoke,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\fire_CV006407.jpg,fire,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV012117.jpg,smoke,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV017802.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV035472.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV004817.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV000970.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV021470.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV027119.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV001379.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV008982.jpg,both,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV028551.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV004459.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV023275.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV004289.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV031600.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV014910.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV023570.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV009359.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV008080.jpg,smoke,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV034482.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV028322.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV008560.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV014502.jpg,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\neitherFireNorSmoke_CV000959.jpg,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV008048.jpg,smoke,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV005766.jpg,smoke,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV004664.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\smoke_CV019602.jpg,smoke,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_CV\FASDD_CV\images\bothFireAndSmoke_CV013539.jpg,both,test
