path,label,split
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000000.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000001.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000002.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000003.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000004.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000005.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000006.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000007.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000008.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000009.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000010.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000011.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000012.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000013.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000014.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000015.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000016.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000017.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000018.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000019.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000020.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000021.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000022.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000023.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000024.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000025.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000026.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000027.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000028.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000029.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000030.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000031.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000032.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000033.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000034.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000035.tif,neither,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000036.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000037.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000038.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000039.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000040.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000041.tif,neither,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000042.tif,neither,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_RS\images\neitherFireNorSmoke_RS000043.tif,neither,train
