path,label,split
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000000.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000001.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000002.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000003.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000004.jpg,both,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000005.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000006.jpg,both,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000007.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000008.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000009.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000010.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000011.jpg,both,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000012.jpg,both,test
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000013.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000014.jpg,both,train
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000015.jpg,both,val
E:\Projects-Seyed.Jasemi\Amir_Thesis\TUBITAK-1002\datasets\FASDD_UAV\images\bothFireAndSmoke_UAV000016.jpg,both,train
